Human	Mouse
Q58EX2	Q6V4S5
Q96N67	Q8R1A4
Q68DK2	Q5DU37
O15078	Q6A078
Q92508	E2JF22
Q9Y566	D3YZU1
O15021	Q811L6
Q8NFD5	E9Q4N7
P78363	O35600
P49327	P19096
Q96BY6	Q8BZN6
Q86YW9	Q8BQM9
Q15652	Q69ZK6
Q8N3C0	E9PZJ8
Q8TD84	Q4VA61
A2RRP1	E9Q411
P46100	Q61687
Q9P0X4	E9Q7P2
Q9UMZ3	P0C5E4
O75923	Q9ESD7
Q5JSL3	A2AF47
P48634	Q7TSC1
P42356	E9Q3L2
Q02817	Q80Z19
Q8IZD9	Q8CIQ7
Q5TH69	Q3UGY8
Q8WUY3	Q52KR3
Q7Z5N4	Q3UH53
P24928	P08775
Q13936	Q01815
P18583	Q9QX47
O60469	Q9ERC8
Q8NB66	Q8K0T7
Q9Y2I7	Q9Z1T6
Q9H799	Q8CE72
Q9NZM1	Q69ZN7
P35498	A2APX8
Q99973	P97499
Q05BV3	Q8BQM8
Q9Y6J0	G3X8Q1
Q9H6A9	Q8VI59
P13611	Q62059
O95180	O88427
Q9Y3R5	Q3UHQ6
O75096	Q8VI56
Q6ZMW3	Q5SQM0
Q9H4A3	P83741
Q99250	B1AWN6
Q12873	B1AR17
Q8N201	Q6P4S8
Q9HD67	F8VQB6
Q6GYQ0	Q6GYP7
Q9P212	Q8K4S1
Q9UQD0	Q9WTU3
Q6UVK1	Q8VHY0
Q9HCD6	A2A690
P02549	P08032
Q8N1I0	P59764
Q9P2D3	Q8C547
Q9HC10	Q9ESF1
Q14669	G5E870
Q8NFC6	E9Q6J5
Q12923	Q64512
Q8NF50	Q8C147
P11277	P15508
Q9BZ29	Q8BIK4
A8TX70	A6H584
Q12802	E9Q474
P08922	Q78DX7
Q14839	Q6PDQ2
Q14524	Q9JJV9
Q14008	A2AGT5
Q96BY7	Q80XK6
A6NMZ7	Q8C6K9
P23468	Q64487
O14578	P49025
Q8TDI0	E9PYL1
P35580	Q61879
Q14686	Q9JL19
Q92614	Q9JMH9
Q5T1R4	A2A884
Q9HCM2	Q80UG2
P23471	B9EKR1
P51610	Q61191
Q9NY46	A2ASI5
Q96JI7	Q3UHA3
Q96HP0	Q8VDR9
P20908	O88207
Q9P2N4	E9PUN6
Q92621	B9EJ54
O75051	P70207
O43157	Q8CJH3
Q7Z333	A2AKX3
Q8NDV7	Q3UHK8
Q9UIW2	P70206
Q15858	Q62205
P11055	P13541
A7KAX9	Q811P8
P15822	Q03172
P10586	A2A8L5
P35579	Q8VDD5
Q6ZT12	Q5U430
P12107	Q61245
Q2KJY2	Q7TNC6
P35749	O08638
P12883	Q91Z83
Q68DE3	B2RUQ2
P13533	Q02566
Q9UKX2	G3UW82
P12882	Q5SX40
Q9H1A4	P53995
P13535	P13542
Q7Z7A1	A2AL36
P42694	Q6DFV5
Q9UGU0	Q9EPQ8
O60293	B2RT41
O15018	E9Q1M1
Q9C0F0	Q8C4A5
Q9UKX3	B1AR69
P21675	Q80UV9
Q7Z442	Q7TN88
Q13023	E9Q9K8
Q9Y623	Q5SX39
A7E2Y1	A2AQP0
Q38SD2	Q3UHC2
Q9UPY3	Q8R418
Q13332	B0V2N1
Q86VV8	Q8R4Y8
Q9NSI6	Q921C3
Q9BYK8	A2AS03
Q14185	Q8BUR4
P51805	P70208
A7E2V4	Q3UHH1
Q92794	Q8BZ21
O14647	E9PZM4
Q9Y6D6	G3X9K3
Q8IUG5	E9PV66
O95248	Q6ZPE2
Q14997	Q5SSW2
O95996	Q9Z1K7
Q9BV73	Q60952
Q8IZT6	Q8CJ27
Q96QT4	Q923J1
P50748	Q8C3Y4
Q9H583	G3X9B1
A6NHR9	Q6P5D8
Q9UIF8	A2AUY4
O60840	Q9JIS7
Q9Y4D7	Q3UH93
Q96PE2	Q80U35
Q7Z406	Q6URW6
Q8NEY1	Q8CH77
O14981	E9QAE3
Q99466	P31695
P07942	P02469
O60333	Q60575
Q6PIF6	Q99MZ6
Q9H7D0	B2RY04
Q15154	Q9R0L6
Q4ZG55	Q3UHK3
P23467	B2RU80
P13942	Q64739
Q8WWQ0	Q8VDD9
O75417	Q80XB7
Q8TDM6	E9Q9R9
Q4AC94	Q52KB6
Q92538	Q6DFZ1
Q13459	Q9QY06
Q9Y4I1	Q99104
Q9UPQ9	Q8BKI2
Q92608	Q8C3J5
Q6RI45	A2AHJ4
Q86WG5	E9PXF8
Q7Z401	E9Q8V6
Q9C091	B9EJV3
Q69YN4	A2AIV2
Q86XA9	Q5PRF0
Q8WYB5	Q8BRB7
Q13129	A2A7F4
O95425	Q8K4L3
Q2PPJ7	A3KGS3
Q9P2E3	Q8R151
Q5H8C1	Q684R7
Q5VYK3	Q6PDI5
Q7KZ85	Q62383
A6NKB5	Q5DU28
Q8IZD2	Q3UG20
Q8IZF0	Q8BXR5
Q13698	Q02789
P29400	Q63ZW6
Q3V6T2	Q5SNZ0
Q7RTP6	Q8CJ19
P55196	Q9QZQ1
Q9Y6D5	A2A5R2
Q9P2S2	E9Q7X7
P51587	P97929
Q562E7	Q5ND34
P35499	Q9ER60
Q9Y6R7	E9PVG8
Q9Y6R7	E9Q0B5
O43166	Q8C0T5
O60287	Q571H0
Q9UG01	Q6VH22
P98088	E9Q5I3
Q92545	O70472
Q92824	Q04592
O75970	Q8VBX6
P00451	Q06194
P55268	Q61292
Q68CP9	E9Q7E2
P52948	Q6PFD9
Q9ULI1	Q6P5U7
Q9Y3S1	Q3UH66
Q5VU43	Q80YT7
Q8N6G6	Q8BLI0
P02462	P02463
Q00610	Q68FD5
A3KMH1	Q8CC88
Q9C0G0	G3UVV3
Q14766	Q8CG19
Q2WGJ9	E0CZ42
Q6WRI0	Q3V1M1
Q9ULH0	E9Q9B7
Q05707	Q80X19
O14646	P40201
P16144	A2A863
Q5VT25	Q3UU96
Q6UB98	G5E893
Q8IWV7	O70481
P29375	Q3UXZ9
Q9UPW8	Q4KUS2
Q5T5U3	Q6DFV3
O60292	G3X9J0
P16157	Q02357
Q3T8J9	Q9DB00
Q9C0D5	Q0VGY8
Q92817	Q9D952
Q12756	P33173
O75581	O88572
Q8IZY2	Q91V24
Q9UPZ6	Q69ZU6
Q8IWV8	Q6WKZ8
Q5SRE5	Q6ZQH8
O15031	B2RXS4
Q8IZF6	B7ZCC9
O00468	A2ASQ1
Q86V15	Q9CWL2
Q7Z2Y8	Q80SU7
Q9BYB0	Q4ACU6
Q9BTC0	Q8C9B9
Q14980	E9Q7G0
Q2TAZ0	Q6P4T0
Q9ULL4	Q9QY40
Q16363	P97927
Q15811	Q9Z0R4
Q6R327	Q6QI06
Q12789	Q8K284
Q8IWT3	Q80TT8
Q9ULV0	P21271
Q15746	Q6PDN3
Q07157	P39447
Q5HYC2	F6TMC0
Q9Y5Y9	Q6QIY3
Q9HCF6	Q5F4S9
Q96QU1	Q99PJ1
Q86U86	Q8BSQ9
Q7Z5P9	Q6PZE0
Q9P219	Q6VGS5
Q9UIF9	Q91YE5
Q7Z6E9	P97868
Q9UL36	B2RR24
P51532	Q3TKT4
Q7Z3U7	Q80TL7
Q13219	Q8R4K8
Q9P2F8	Q80TE4
P09848	F8VPT3
Q5UIP0	Q6PR54
Q14674	P60330
Q9HCJ0	Q3UHC0
Q7Z5J4	Q61818
Q8N2S1	Q8K4G1
Q8TEM1	Q9QY81
Q8NFA0	F8VPZ3
O75197	Q91VN0
Q9H1H9	Q9EQW7
Q6W2J9	Q8CGN4
Q9Y5S2	Q7TT50
Q9Y6Y1	A2A891
Q15643	E9Q512
P49815	Q61037
Q9BX84	Q8CIR4
Q9NQT8	E9Q4K7
Q8IZC6	Q5QNQ9
Q14767	O08999
O00750	E9QAN8
Q92576	B2RQG2
P11047	P02468
P08572	P08122
P46940	Q9JKF1
Q8NI27	B1AZI6
O15054	Q5NCY0
Q12888	P70399
Q9Y6N7	O89026
Q02880	Q64511
Q5T5P2	A2AQ25
Q5VU65	Q9D2F7
Q5TGY3	Q6PAL7
Q7RTU9	Q8VIM6
A6NGW2	Q8VIM6
O94813	Q9R1B9
O43451	B5THE2
Q9NQX4	E9Q1F5
O60241	Q8CGM1
P05997	Q3U962
O14514	Q3UHD1
O60242	Q80ZF8
O75037	Q9QXL1
P35658	Q80U93
Q9HBL0	E9Q0S6
Q96Q42	Q920R0
Q9P265	Q3UH60
P12259	O88783
O15047	E9PYH6
P82987	G3UXC7
Q9Y2E4	E9PWR4
P02458	P28481
Q9Y4B5	Q3UHU5
Q7Z4S6	Q9QXL2
Q8N4C6	Q61043
O75140	P61460
Q9NZM3	Q9Z0R6
O43151	Q8BG87
O14795	Q9Z1N9
O60318	Q9WUU9
P25940	Q9JLI2
Q9P2R6	Q80TZ9
O75093	Q80TR4
P14410	F8VQM5
O00443	Q61194
P49454	E9Q3P4
Q5TZA2	Q8CJ40
Q99758	Q8R420
Q70Z35	Q3LAC4
P53804	O88196
Q8WYP5	Q8CJF7
Q9Y4F3	Q8BJ34
Q9C0I4	Q6P4U0
Q12955	G5E8K5
Q96JN8	Q5NCX5
O94822	Q6A009
P51531	Q6DIC0
Q13009	Q60610
Q6YHU6	A8C756
Q86VF7	Q80XB4
Q5VW36	A2AKG8
Q07092	Q8BLX7
Q9BXP8	E9PZ87
O75094	Q9WVB4
Q6P0Q8	Q60592
Q5JU85	Q5DU25
O15027	A2AIX1
O95602	O35134
Q9P2P5	Q6I6G8
Q9H792	Q69Z38
O95153	Q7TNF8
Q8NFW1	E9Q7P1
Q8TCU6	Q69ZK0
P41229	P41230
Q5H9F3	A2AQH4
Q15648	Q925J9
Q9P2K8	Q9QZ05
Q9ULG1	Q6ZPV2
Q9UGL1	Q80Y84
O60437	Q9R269
O60522	P61407
P59510	P59511
O94913	G3X9Z4
Q8WXG6	Q80U28
Q9NRJ4	Q9JIL5
Q9H3S7	Q6PB44
Q8WWZ7	Q8K448
Q13224	Q01097
A9Z1Z3	A3KGK3
Q5VZL5	A2A791
Q9Y4B6	Q80TR8
P35573	F8VPN4
Q09428	B2RUS7
Q14690	Q6NS46
Q9Y2H9	Q9R1L5
Q9ULB1	Q9CS84
O60706	P70170
P02461	P08121
P02461	Q8K4P0
Q13439	Q91VW5
O94910	Q80TR1
Q9NRY4	Q91YM2
Q7Z460	Q80TV8
P52179	Q62234
P02452	P11087
Q86UU0	Q67FY2
P28827	P28828
Q14966	Q61464
Q15262	P35822
Q8TEU7	Q5NCJ1
O60346	Q8CHE4
Q7Z3J3	Q9ERU9
A6NKT7	Q9ERU9
P0DJD1	Q9ERU9
Q99666	Q9ERU9
O14715	Q9ERU9
P0DJD0	Q9ERU9
P49792	Q9ERU9
Q149N8	Q7TPQ3
Q6T4R5	B1AV60
Q96RK0	Q924A2
O60449	Q60767
Q8TCU4	Q8K4E0
P53420	Q9QZR9
Q9P267	B1AYB6
Q9NRD9	A2AQ92
Q5VUA4	Q99PP2
Q6PRD1	E9PY61
Q13029	A2A7B5
Q9UBG0	Q64449
Q9UM73	P97793
Q14031	B1AVK5
Q9Y6X0	Q9Z180
O14522	Q99M80
Q14689	Q8BWT5
O60486	Q9QZC2
Q13017	P97393
Q04637	Q6NZJ6
Q96NW7	Q80TE7
P31327	Q8C196
Q01955	Q9QZS0
Q5VZ89	A6H8H2
Q5TAX3	B2RX14
Q12879	P35436
Q14004	Q69ZA1
Q9Y4E6	Q920I9
P0C091	Q5H8B9
Q9ULI4	Q52KG5
Q4KWH8	Q4KWH5
Q5VV63	Q6A051
Q9ULD9	Q56A10
O75064	Q3U1Y4
Q86X10	Q8BQZ4
Q9HAR2	Q80TS3
P11137	P20357
Q9P2P1	Q5DTZ0
Q92729	B1AUH1
O60306	Q8CFQ3
Q9Y6R4	O08648
Q9NYU2	Q6P5E4
O75882	Q9WU60
O00512	Q9D219
O60244	A2ABV5
Q9Y2K3	E9Q264
Q76N89	Q8K4P8
Q8IVF5	Q6ZPF3
P43146	P70211
Q9Y6X6	Q5DU14
Q9Y4B4	Q99NG0
Q9Y4F4	Q6A070
Q14C86	Q6PAR5
P02751	P11276
Q9H2Y7	O88466
Q8WZ74	B9EJA2
O43426	Q8CHC4
Q8WZ64	Q8BZ05
Q9Y4G8	Q8CHG7
Q96QZ7	Q6RHR9
Q10570	Q9EPU4
Q17RW2	Q30D77
P07814	Q8CGC7
P52746	G5E869
Q9P2K1	Q8CFW7
Q8TDY2	Q9ESK9
D6RIA3	E0CYV9
Q15596	Q61026
Q8NI35	Q63ZW7
O15550	O70546
Q13576	Q3UQ44
P10071	Q61602
Q13635	Q61115
Q9H6S0	B2RR83
P23470	Q05909
Q92626	Q3UQ28
Q9BZ95	Q6P2L6
Q9BYP7	Q80XP9
Q9NTI5	Q4VA53
Q5T200	E9Q784
P53355	Q80YE7
Q9NRR4	Q5HZJ0
P24821	Q80YX1
P78357	O54991
Q9UBW7	Q9CU65
Q92859	P97798
O95785	O88286
Q9NYV4	Q14AX6
Q7Z4N2	Q2TV84
P58397	Q811B3
P11388	Q01320
Q14160	Q80U72
P29475	Q9Z0J4
Q9NTG1	Q9Z0T6
Q9P227	Q69ZH9
Q86VI3	F8VQ29
Q9C0A6	Q5XJV7
O14802	B2RXC6
Q5SW79	Q6A065
Q9NZN5	Q8R4H2
O43432	Q80XI3
Q9UKJ3	A2A6A1
Q8WWN8	Q8R5G7
P54296	Q14BI5
Q6ZU64	Q3V0B4
P08069	Q60751
Q14202	Q9JLM4
Q9UIG0	Q9Z277
Q6Q759	Q5S003
Q9NZM4	F8VPZ9
Q08AD1	Q8C1B1
Q96K83	Q6KAS7
P06213	P15208
Q9NRL2	O88379
Q8N2Y8	Q80U22
P33527	O35379
O15014	Q8BZ47
Q92766	Q3UH06
Q15788	P70365
Q9ULK4	Q80YQ2
Q15303	Q61527
Q9UKA4	E9Q777
Q6ZWJ8	Q3U492
Q4ADV7	Q69ZJ7
Q8TF72	Q9QXN0
Q6PGP7	F8VPK0
Q96RT7	G5E8P0
Q96PV0	F6SEU4
A3KN83	Q689Z5
Q7Z3K3	Q8BZH4
O15440	Q9R1X5
A6NES4	D3Z750
Q9NRD8	A2AQ99
Q9ULU8	Q80TJ1
P0C0L4	P01029
P0C0L5	P01029
P01031	P06684
Q2KHR3	A2BIE1
O75116	P70336
Q8N3P4	Q0P5W1
O15399	Q03391
Q5T5Y3	A2AHC3
Q9HCM3	Q68FD9
Q13233	P53349
O75095	Q80V70
Q2M1K9	Q80TS5
Q9Y2L5	E9PWG2
Q9Y4C0	Q6P9K9
Q96K76	Q8BY87
P08123	Q01149
P22897	Q61830
O60885	Q9ESU6
P78504	Q9QXX0
Q12769	Q9Z0W3
Q8N1W1	P97433
Q96P48	Q4LDD4
Q96F81	Q3TDN0
O14525	Q61137
Q5VT52	Q6NXI6
Q9C0D2	Q8BQ48
Q9ULJ7	F7BE84
O75694	Q99P88
Q12767	Q7TSH8
Q14999	Q8VE73
O75129	Q80Z10
Q96Q04	Q5XJV6
Q8N122	Q8K4Q0
Q9UPX8	Q80Z38
Q9ULI0	E9Q166
Q9UPX0	E9PZ19
Q92752	Q8BYI9
O75533	Q99NB9
Q8WUJ3	Q8BI06
Q99570	Q8VD65
Q5QGS0	Q5DTT1
Q6P2E9	Q3UJB9
Q04656	Q64430
Q5JSZ5	Q7TPM1
Q63HR2	Q8CGB6
Q13464	P70335
Q9UHC6	Q9CPW0
Q8NDA8	E0CZ22
Q8ND23	Q3UFQ8
O96028	Q8BVE8
Q6DT37	Q80UW5
Q9UKE5	P83510
Q07889	Q62245
Q99683	O35099
Q9H2D6	Q99KW3
Q8NEV4	Q8K3H5
P01024	P01027
O95613	P48725
P09884	P33609
Q8IY21	E9PZQ1
Q8TER0	Q70E20
O95271	Q6PFX9
O94759	Q91YD4
Q07890	Q02384
Q86US8	P61406
Q7Z745	Q7M6Y6
P10070	Q0VGT2
Q8WXD9	Q6P9K8
O94964	E1U8D0
Q8TER5	Q3UPH7
Q9Y493	O88799
Q9UKP4	Q68SA9
Q76NI1	Q0KK55
Q9Y4K1	E9PVP1
O75976	O89001
Q14152	P23116
Q8IUA7	Q8K449
P39880	P53564
P26358	P13864
O60336	Q6NS57
Q8IVE3	Q8C115
Q29RF7	Q6A026
Q8WWI1	E9PYF4
Q9HCK4	Q7TPD3
Q6PFW1	A2ARP1
P39060	P39061
Q8IVV2	C8YR32
Q6IQ26	Q6PAL8
Q9UK61	Q69ZR9
P21860	Q61526
Q8TEQ6	Q8BX17
Q9UI33	Q9R053
Q8NHM5	Q6P1G2
Q5TCQ9	Q9EQJ9
Q8IY17	Q3TRM4
Q9BXT5	F8VPN2
O15015	Q6NV66
Q5VWN6	Q5DTT3
Q8TEK3	Q6XZL8
P08581	P16056
Q01118	B1AYL1
Q9UKL3	Q9WUF3
P19174	Q62077
Q6W4X9	Q80T03
O60271	Q58A65
Q8N4C8	Q9JM52
Q9UPT6	Q9ESN9
A2VDJ0	Q3U3D7
Q9P2D6	Q6NS59
Q86UU1	Q6PDH0
O75147	D3YYU8
O60503	P51830
Q96F07	Q5SQX6
Q9Y219	Q9QYE5
Q9Y2I1	Q80TM9
Q6ZVL6	F6ZGR6
Q5VU97	Q6PDJ1
Q96ST3	Q60520
Q9Y4F5	Q80U49
Q2KHR2	F8VPJ6
Q92628	Q80U59
Q2V2M9	Q76LL6
Q96PN6	Q8C0T9
O15085	Q68FM7
Q7L576	Q7TMB8
Q7LBC6	Q6ZPY7
Q9C0C7	A2AH22
Q6ZQQ6	E9Q1N0
Q9UHN6	Q5FWI3
Q96Q89	Q80WE4
Q9C093	Q8C9J3
Q8IWJ2	Q8CHG3
Q9Y2F5	E9Q286
Q96RT1	Q80TH2
Q8WVM7	Q9D3E6
Q8NEZ3	Q3UGF1
Q96KG7	Q6DIB5
A0JNW5	A2RSJ4
O95405	A2A8R0
O75153	Q5SW19
Q9Y4C1	Q6PCM1
Q5VTT5	A2ABU4
Q8NDM7	E9Q7R9
Q5XPI4	Q5XPI3
Q5T3U5	Q8R4P9
Q8N7X0	G3UZ78
Q86UW7	Q8BYR5
Q02224	Q6RT24
Q9UPT8	Q6ZPZ3
Q9BZZ2	Q62230
Q9UHF7	Q925H1
Q7Z2Z1	Q8BQ33
Q70CQ4	E9Q6Y8
Q9HAU5	A2AT37
P29144	Q64514
Q8IWK6	Q7TT36
Q9P2K9	A3KFU9
Q7Z478	Q6PGC1
Q86UL8	Q9WVQ1
Q9Y6N6	Q9R0B6
P53621	Q8CIE6
P53621	O55029
Q96KV7	Q6ZPG2
O94823	B1AWN4
Q8IZU2	E9Q271
O15438	B2RX12
P47989	Q00519
Q6ZUT9	A2RSQ0
Q13045	Q9JJ28
Q9BZ72	Q6ZPQ6
Q5VYS8	Q5BLK4
P16885	Q8CIH5
Q9BXF3	E9Q2Z1
Q00341	Q8VDJ3
Q8N6C5	Q7TQA1
Q9HC56	F8VPK8
Q70EL1	Q8BL06
Q9H2M9	Q8BMG7
Q10571	D3YWE6
Q9NYU1	E9Q4X2
Q8IYD8	Q8BGE5
Q149M9	A6H603
P07996	P35441
P35916	P35917
Q92887	Q8VI47
Q96RY7	E9PY46
Q8N3U4	O35638
P55201	Q3U109
Q6ZT07	Q3UYK3
Q9NS15	Q61810
Q9C0C9	Q6ZPJ3
Q15393	Q921M3
Q8TEP8	E9Q4Y4
Q8TEW0	Q99NH2
P26640	Q9Z1Q9
Q15047	O88974
Q6Y7W6	Q6Y7W8
P40145	P97490
O15357	Q6P549
Q9BXT8	Q99MV7
Q68CZ2	Q5SSZ5
Q5VV67	Q6NZN1
Q9ULM3	Q3TUF7
O75334	Q8BSS9
O15067	Q5SUR0
O60315	Q9R0G7
Q6ZVD8	Q8BXA7
Q8NDG6	Q14BI7
O43520	Q148W0
Q9BY12	F8VQ70
Q92620	Q80X98
O15056	Q9D2G5
O95622	P84309
Q6P158	Q6P5D3
O14841	Q8K010
Q14CM0	A2AFR3
Q8TAQ2	Q6PDG5
Q5VZK9	Q6EDY6
Q6ZU65	Q80WC1
Q14683	Q9CU62
O14559	Q80YF9
O60312	O54827
P14616	Q9WTL4
P20020	G5E829
Q92878	P70388
Q14203	O08788
Q86VP6	Q6ZQ38
Q5SYE7	Q8CAF4
O15534	O35973
Q12770	Q6GQT6
Q92823	Q810U4
Q9NSC2	Q9ER74
Q14562	A2A4P0
P30622	Q922J3
O75122	Q8BRT1
Q16720	Q0VF55
Q6BDS2	B2KF50
Q7Z5J8	A2RT91
Q8WX93	Q9ET54
P11274	Q6PAJ1
Q9P241	Q8K2X1
Q96PE1	Q91ZV8
Q96T23	E9Q4Y2
P98198	P98199
O15090	Q8K083
Q9UPN6	Q6DID3
P52701	P54276
P30876	Q8CFI7
P82279	Q8VHS2
Q6ZRR7	Q8CDN9
Q6P4R8	Q6PIJ4
Q9UQE7	Q9CW03
Q5T9S5	Q640L5
O14924	Q8CGE9
Q96JH7	Q8CDG3
P41252	Q8BU30
Q9P2D0	Q6ZPR6
Q4LE39	A2CG63
Q9UQB3	O35927
Q9NQ66	Q9Z1B3
P35670	Q64446
Q86Z02	O88904
O00562	O35954
Q7Z494	Q7TNH6
O15040	Q3UH45
O94911	Q8K440
Q9C0A0	Q99P47
P49790	E9Q3G8
Q15021	Q8K2Z4
Q9HCE6	A2AWP8
P35968	P35918
P56715	P56716
Q15075	Q8BL66
Q96QE3	Q4QY64
Q14671	Q80U78
Q9H2X6	Q9QZR5
O60343	Q8BYJ6
P12821	P09470
P48751	P16283
Q92797	Q80X82
Q9HAZ2	A2A935
Q2M3C7	Q6NSW3
Q9NS87	Q6P9L6
Q9C0C2	P58871
Q99707	A6H5Y3
Q13018	Q62028
Q53EP0	Q6NWW9
Q9Y2K7	P59997
Q9H9B1	Q5DW34
Q76I76	Q5SW75
Q9HCH0	Q6GQX2
Q7L2E3	Q99PU8
