Q7TQD2;O94811
Q7TM95;Q6B0B8
Q9EQB9;Q9HBT7
Q9JL35;P82970
Q6P6P7;Q2NL67
Q6P542;Q8NE71
P30554;P04201
P09671;P04179
P62814;P21281
Q9Z2P8;O95183
Q8CB27;Q5VVQ6
P51960;P10243
Q569Z5;Q7L014
Q99NA9;Q9BYE7
Q8K1R7;Q8TD19
Q80TM6;Q9Y2K5
Q8R3C1;Q9NWW7
Q8BU30;P41252
Q9EQZ7;Q9UQ26
Q80UL9;Q86YT9
Q9Z2G0;Q9UK73
Q9DBG3;P63010
Q99N32;Q86Z14
Q8JZS0;O14910
Q8BHX1;Q96CS2
Q91VN6;Q9UJV9
Q9WVD4;P51795
Q8BYW1;P42331
Q9JHU4;Q14204
P97799;Q8IZ57
P10711;P23193
Q8BHK6;Q9NQ25
Q8BVQ5;Q9Y570
Q6PGH0;Q8WUN7
Q67FY2;Q86UU0
Q3U1C6;Q17R31
Q60591;Q13469
Q8VDP2;Q9H5V9
Q5SUE8;Q6AI12
P97765;Q969T9
Q8BY98;A6NJG2
Q9JJS0;Q9NQ36
P28334;P28222
Q9WTK3;O43292
Q3U1J4;Q16531
Q02819;Q02818
Q8K3I8;Q5J5C9
Q8BHM9;Q6ZWK6
Q3TV70;Q86WQ0
Q61144;P49810
Q9WVT6;Q9ULX7
P10833;P10301
Q80W32;Q9H095
Q8K4L0;Q8TDD1
P06800;P08575
P51661;P80365
Q8BMF4;P10515
Q8BI22;Q6ZU80
O88693;Q16739
O35963;Q9H082
O35181;P56975
Q8VIB5;Q9NY43
Q8C0K5;P16260
Q8CHV6;O75478
P23506;P22061
Q8BKV1;Q8N158
Q60692;P28072
Q6ZQ03;Q8N3X1
Q9EQR6;O15287
Q9DBY1;Q86TM6
Q8CD92;Q6P3X3
Q8C5T4;Q6PF18
Q91WB4;Q9H8W4
Q60846;P28908
Q8BMS4;Q9NZJ6
Q8K2A6;Q5VYY2
Q8BL00;Q6ZTQ4
Q3U034;Q8N3J2
Q6A085;Q9UEG4
Q04886;P57073
Q9D084;Q8N2Z9
Q9D2V7;P57737
P36423;P24557
Q9EP73;Q9NZQ7
P55086;P55085
P28236;P48165
Q8CCB5;Q5JXM2
Q9D176;Q96L08
Q571E5;Q2L4Q9
Q63912;P23515
Q9ET26;Q9Y508
Q9WUU6;Q14541
A2ACP1;Q5SRH9
Q925F3;P50876
Q91ZR4;Q86SG6
Q8R1P5;Q9HB14
Q02013;Q4G0A6
Q60953;P29590
Q9Z306;Q9H015
Q05CL8;Q4G0J3
P57780;O43707
P70297;Q92783
Q91ZV7;Q8IUK5
P27790;P07199
Q9Z0Z3;Q13309
Q9JHL1;Q15599
P31240;P01127
Q91YT8;O94886
P48168;P48167
P51163;P10746
Q8VD53;Q5QJU3
Q9JJ57;Q9NZI2
Q6PDL0;O43237
Q8QZY3;Q6W0C5
Q9CQ69;O14949
P20060;P07686
Q8K021;O15126
Q8BJ73;Q2I0M5
P45377;O60218
Q9JMB8;Q9UQ52
Q921K8;A6NFQ2
Q91Z61;O95057
Q61881;P33993
Q9CQQ7;P24539
Q9D6H5;Q9NPG8
P55012;P55011
Q9CZ44;Q9UNZ2
Q4VBE8;Q9BV38
Q9Z0H4;O95319
P20065;P62328
Q9DBV3;Q14147
Q8R1U1;Q9H9E3
Q8QZT1;P24752
P04756;P02708
Q6DI92;Q86XI8
Q9D5V6;Q96A49
P43406;P06756
P28705;P48443
P25425;P14859
Q99MT7;Q9BY21
Q8CCT7;Q9H649
Q4VAH7;A8MVW5
Q6PDI5;Q5VYK3
Q64261;Q00534
Q8R2Z3;Q8TE54
Q8BU14;Q99442
Q06507;P18848
Q9D7P7;O95833
Q99K74;O75448
Q8R003;Q9NUK0
P27512;P25942
P35293;Q9NP72
Q9EPW0;Q96PE3
P84078;P84077
Q3URD3;Q14BN4
P63017;P11142
Q8R4P4;Q8TDI7
Q9D4V3;Q8IWF9
Q9D1C2;Q9Y3M2
Q8BH75;Q9H4P4
Q3SXD3;Q7Z4H3
Q9DCZ1;P36959
O08688;O15484
Q9WU02;P47901
Q9D485;Q5JST6
Q4KL14;Q5T215
Q3TVA9;Q96JN2
Q7TQP2;Q8IZ08
Q3TZZ7;A0FGR8
Q9JME5;Q13367
Q9DA37;Q96LT4
Q9CPP0;O75607
Q8BVN3;Q7RTX7
Q60665;P12757
Q9D7T1;Q6BDI9
B1ATG9;Q86V40
Q6IR34;Q86YR5
Q9D659;Q9H7M9
Q99KF1;Q9BVK6
Q60862;Q13416
Q9Z1N2;Q13415
O88721;P30518
Q9DBN4;Q96A73
Q91WC3;Q9UKU0
Q80ZK9;Q8N5D0
P83861;Q96P65
Q6DFW0;Q96LT7
Q8C1R3;Q8WW18
Q8C1E1;Q8N4F0
Q80TR1;O94910
Q9CQA0;Q9NSP4
P09633;P31274
Q9QZE5;Q9Y678
O55229;Q9Y259
P62515;P49335
Q9ER88;P51398
Q9Z1B3;Q9NQ66
Q4LDD4;Q96P48
P70263;Q13258
Q9QY14;Q13461
Q9D8Y8;Q8WYH8
Q8BXZ0;Q4LDR2
A2CG63;Q4LE39
Q9CQU0;O95881
Q8K2X2;Q5RL73
Q8BUB4;Q96P53
P41969;P19419
Q8CFZ5;Q96S37
Q1XH17;Q6ZMU5
Q8VDQ8;Q8IXJ6
Q80T32;Q6QNK2
Q66LM6;A1A519
Q5SW19;O75153
Q64729;P36897
Q3UH99;Q6ZSJ9
O55091;Q9P2X3
P07310;P06732
P57757;O60931
Q8BY89;Q8IWA5
Q5QD17;Q9P1P5
Q8BI79;Q4G0X9
Q9DBL7;Q13057
O35127;Q99622
P54728;P54727
Q6YNI2;P46095
Q9JLB0;Q9NZW5
Q9EQG3;O95171
P15530;P40259
Q8K3W2;Q5BKY1
Q80YV2;Q86WB0
Q8BYK4;Q96NR8
O54910;O00221
Q8VEK3;Q00839
Q9DBS5;Q9NSK0
Q6A4L0;Q9Y226
Q6NZB0;O75937
Q8BV42;Q8N393
Q3UFY4;Q86UC2
Q8QZR1;P17735
Q6NXK7;Q8N608
Q9R1Z8;O60504
O08583;Q86V81
Q8K007;Q8IWU6
Q99JZ0;Q9H190
Q9Z0S1;O95861
Q8K099;Q9P2V4
Q640L5;Q5T9S5
Q8C0D9;Q76N32
P21440;P21439
Q64445;P10176
P97454;Q99717
Q9R0B9;O00469
Q62507;O43405
O88425;O75414
Q9D8P7;Q969F1
O88554;Q9UGN5
Q91YA2;P11801
Q3USQ7;A6NDD5
Q91ZA8;Q7Z6K4
Q9CQ90;Q96MD7
Q9CPS7;Q9NRX1
Q9D7H2;Q86VZ2
Q9D5R4;Q5VX52
Q9CPT3;Q8TBE9
Q8BHG9;Q9UFW8
Q8BJS7;Q9P2G4
O88995;Q9UBC1
A2AJN7;Q8NBS3
Q80UG5;Q9UHD8
Q8BG15;Q05D32
Q99KP3;Q9Y2S2
Q5QNQ6;Q969R2
Q61125;P46663
P97386;P49916
Q6IE82;Q92613
P41971;P41970
Q8VDI9;Q9H6U8
Q6ZPJ0;Q8IWB9
P23275;O95371
Q9Z2J6;Q9Y5Y4
Q4U4S6;A4UGR9
Q9QYE9;Q9UF11
Q9JLJ0;Q99732
Q99LJ2;Q969K4
Q3TIR1;A5PLN9
Q9JLR9;Q9Y241
Q8BK67;Q9P258
Q8BFQ8;Q8NB37
Q9Z160;Q8WTW3
Q9CSU0;Q9NQG5
P08003;P13667
P97449;P15144
Q8BH15;Q9H9A5
P30681;P26583
P97927;Q16363
P56857;P56856
A2AF47;Q5JSL3
Q9CQ31;Q8WXH4
Q9WTP7;Q9UIJ7
Q811F1;Q5SVQ8
Q8R4L0;Q9H6Q3
Q9Z2Y3;Q86YM7
Q61017;O14610
Q3UH68;Q9UPQ0
P31649;Q9NSD5
Q8K387;Q70EL2
P97772;Q13255
P17515;P02778
Q62087;Q15166
P61164;P61163
Q9R1Q6;Q3YBM2
Q6NXH3;Q86WP2
Q91VA3;A6NHC0
O55071;P20813
P23298;P24723
Q920N1;Q96PU9
P09528;P02794
O08538;Q15389
Q99N05;Q96JQ5
Q8CFF0;Q9NR21
Q5SX40;P12882
Q9D379;P07099
A7DTG3;Q9NUC0
P97436;Q99801
O08738;P55212
Q9ERB0;O95721
P84104;P84103
P39098;O60476
P58463;O15409
Q8K1M6;O00429
Q5RJH2;Q6DN12
Q76LS9;Q8N5J2
Q99MT6;Q9BXA5
A2A6C4;Q8IUH8
Q8BRH0;Q6ZXV5
Q920Q8;Q9Y6Y0
P13379;P06127
Q8BJU0;O43765
Q0VAY3;Q17R55
Q8BJA3;Q6NT76
Q8C8T8;Q969E8
Q8K370;Q6JQN1
Q9QZS0;Q01955
Q8BGS3;P17029
B1AY13;Q9UPU5
O88186;P14770
P16305;Q16445
Q8C854;Q9P2K5
Q9CZD5;Q9H2K0
Q99JT5;Q9NPI7
P62274;P62273
Q8VEL2;Q8NCE2
P06745;P06744
Q8CJ69;Q8N8U9
P42209;Q8WYJ6
P21956;Q08431
Q80Y20;Q96BT7
Q8VBW6;Q13564
Q9CQS3;Q8TAL6
Q5SXJ3;Q9BX63
Q8VHZ7;Q96G21
Q9Z0S9;Q9UI14
P11087;P02452
Q8K4G1;Q8N2S1
Q9CXY6;Q12905
Q30KN8;Q8NES8
Q9CQF9;Q9UHG3
Q9D394;Q7L099
Q91ZS8;P78563
Q6SP97;Q8TC29
Q8K4K6;Q8TE04
O08717;P58166
O89114;O75953
P14220;P02724
Q9Z1T2;P35443
P62751;P62750
Q91YJ2;O95219
A2ARI4;Q9BXB1
A2AR02;Q13427
O88282;Q8N143
P59325;P55010
Q6KCD5;Q6KC79
Q8BXL9;Q0D2I5
Q8BJU9;Q9UGC7
Q9JHX6;Q8N6M5
Q8BYF6;Q8N695
Q8BGZ1;Q9UM19
Q9D2C6;Q9Y535
Q00493;P16870
Q3TZ89;Q9NQW1
Q766D5;Q76KP1
Q8BLR7;Q92730
Q7TQF7;P49418
Q99MR0;O94805
Q61792;Q14847
Q0VBF2;Q4KMG9
Q9ESC8;Q9UHB7
Q8K4S1;Q9P212
Q8BGW9;Q30KQ4
P67778;P35232
Q8BIY1;Q96I76
Q5NCR9;Q9H0G5
Q8K5B1;Q8NI17
Q99MV1;Q9BXT4
Q9EQC7;O95633
O88508;Q9Y6K1
Q9CPQ5;Q7L2Z9
Q3V1F8;Q9H6B9
P70662;Q86U70
Q8C6B2;Q9BST9
Q924M5;Q8N9W6
Q80YA3;Q8NEL9
Q80YN3;O75363
Q9D3D9;P30049
Q7TSS2;Q7Z7E8
Q6P2B1;Q9Y5L0
Q925I4;Q8TE23
Q9Z0J1;O95980
Q3MI48;Q96MG2
P40240;P21926
Q9QXQ1;Q9NP56
Q9JI60;O95237
P97742;P50416
Q9D3V5;Q8NA03
Q64430;Q04656
Q6PAC3;Q9NV06
Q9CYD3;O75718
O54904;Q9Y5Z6
P62960;P67809
P61092;Q8IUQ4
Q9QXX0;P78504
Q8VCA6;Q9NX61
Q8BG39;Q7L1I2
Q8R139;Q7RTT9
P97474;Q99697
Q6VY05;Q8IYX4
A2AAY5;A1X283
Q8CDM8;Q5W0V3
Q8BJ71;Q8N1F7
P46735;O43795
Q8CDU6;Q5U5R9
P13707;P21695
Q6RI63;Q96EK7
Q9R1C0;Q15545
Q91WG2;Q9H5N1
Q9DB98;Q96BZ8
Q8C761;Q8WVS4
P29037;P20226
O89109;O15554
P22272;P08887
Q99N92;Q9P0M9
Q9QUS4;Q9UBP5
P52875;Q9HC07
Q9WUH5;Q9UDY6
Q8R2M0;Q96MN5
Q9CZT5;Q6EMK4
Q3UQ41;Q6ZMR5
P07214;P09486
Q32LZ8;Q7Z6Z6
Q91WE4;Q8TCD1
Q9CQG6;Q9BVK8
Q9WTP6;P54819
Q8BQZ5;O95639
Q810K3;Q8IWX5
Q8BHA0;Q6PI98
Q8BMQ2;Q9UKN8
Q00196;P09086
Q8VEM9;Q9BQ90
Q8CE94;Q7RTY0
Q3UU67;Q6PIZ9
Q11204;Q16842
Q8R554;Q8TE49
A2AKG8;Q5VW36
Q6NZQ0;A1A4V9
Q8VD75;O00291
Q8CB59;Q96MY7
Q9D2R8;Q9Y291
Q6PDH4;Q86VV4
Q80UU9;O15173
Q9CR59;Q8TAE8
Q60769;P21580
Q9CQ79;O14530
Q8CAE2;Q5T8I9
Q61818;Q7Z5J4
Q924Y0;O75936
Q99P72;Q9NQC3
P14576;P61011
Q9QXV8;O43597
Q9CR98;Q96C01
Q8VI67;Q8TDD2
Q9D5Q8;Q5JVX7
Q9JLY0;O14544
O35855;O15382
Q3U3W5;Q6P2P2
Q8K2J4;Q49A88
Q9JKV2;Q9UPZ9
Q80W65;Q8NBP7
Q9DB00;Q3T8J9
P08775;P24928
Q9DCI3;O95772
Q8K467;Q8NEW7
Q68FE7;Q8IW70
P48759;P26022
Q5STE3;Q6MZW2
Q5GAM7;Q5GAN3
Q8C5N3;Q9HCG8
O08970;Q9NNX1
Q9JK45;Q9NR82
Q3TZ65;Q3SX64
Q9JK54;A6NI15
Q7TSY6;Q9BZC1
Q3URY6;Q8NEN0
P97429;P09525
Q8BV84;Q5T870
Q99NC0;Q99990
Q8BM85;Q8TEA7
Q5NC57;Q6ZVS7
Q8BIL5;Q9UJC3
P63078;Q9UK08
P21237;P23560
Q60992;P52735
A2AU37;O15079
Q04998;P08476
Q8R0X2;Q86Y37
Q8BRJ3;Q8NC24
Q8K0Z9;Q6NV75
P42337;P42336
P82976;Q14549
Q9CWF6;Q9BXC9
P52843;Q06520
P48967;P30307
Q8CGF5;Q96MV1
Q91WK0;Q9Y608
Q9Z125;Q96BA8
Q7TN08;Q5SW24
P25206;P25205
Q8VE37;P18754
Q8VE10;Q86UY6
Q8JZX4;Q96I25
P35455;P01185
Q9D2E2;Q96GM8
Q9JKC7;O00189
Q8BFS9;Q9NWL6
Q7TN58;Q8IU68
Q9D075;Q6PF06
Q5HZI2;Q8TF44
Q8K0F1;Q9NUY8
Q8BPM2;Q9Y4K4
Q8BKT7;Q13769
Q8C437;Q8IYB4
Q6NS57;O60336
Q61333;Q03169
Q6X632;O95800
P16460;P00966
Q2TBA3;Q9UDY8
Q9Z2C9;Q9Y216
O54689;P51684
Q3U435;Q9NPA2
Q8K1S6;Q8WWL2
Q8BTH8;Q9HCP0
Q5RJI5;Q8TDC3
Q8BGF7;Q504Q3
Q8R3C0;Q9BTE3
Q6PDK8;Q9Y2E6
A0JLY1;Q0VFZ6
Q8R4Y8;Q86VV8
Q6E1M8;Q6E213
P08113;P14625
Q5RJG1;Q9BSC4
O35457;O00421
Q8CHC4;O43426
O88662;P54851
Q6ZQB6;O43314
Q9Z100;Q96SM3
Q8R0A2;Q8NCP5
Q69ZK9;Q8NFZ4
O88845;O43572
P14206;P08865
P41139;P47928
Q6PAV2;Q5GLZ8
Q9CWM2;Q9BXL8
Q8VC66;Q9Y2D8
Q9Z2B2;O95258
Q8BGW6;Q8WU08
Q8K443;O14921
Q91YN5;Q16222
Q8R366;Q969P0
Q80YE7;P53355
O88876;O75911
Q6V595;Q8WZ60
P22387;P05305
Q62219;O43294
Q9D2H8;Q8TC99
Q9CS00;Q8WUQ7
O54791;Q9ULX9
Q8BY02;O15226
Q8BNN1;Q8IUW3
Q3TPE9;Q8IV38
P83877;P83876
O88898;Q9H3D4
P61364;P61366
Q9ERI5;Q6NYC1
Q8C6K9;A6NMZ7
O54825;Q13895
Q9JJ04;O60513
A2RSY1;Q9P2N6
Q00899;P25490
Q9CR04;O75409
Q9JHH6;Q96IY4
O54851;Q9UKL4
P70190;Q96KX2
Q9QXP0;Q9UBD6
Q64317;P56177
Q9D9P8;Q96L11
Q8WTY4;Q6FI81
Q9JM51;O14684
O70585;O60941
Q6PDY2;Q96SZ5
Q00286;P28069
Q7TPY9;O95751
Q65CL1;Q9UI47
Q03358;P35548
Q6ZQ82;Q9UNA1
Q8VCM2;Q8NFA2
Q6PEB6;Q9Y3A3
Q6NS60;Q8TF61
Q61712;Q96KC8
Q04857;P12109
Q6NZB1;Q96LA8
Q8BII1;Q3B8N5
Q80ZD8;Q86WK6
Q9JJI8;P63173
A2A559;Q96FM1
P60322;P60321
Q9QZS5;Q9HBY8
P27782;Q9UJU2
Q9D8M7;Q8WUB8
Q8BGK2;Q8NDY3
Q80U95;Q15386
Q91VE6;Q9BYG3
P84244;P84243
Q8BFQ2;Q8NBD8
Q91Z58;Q5T0Z8
Q9CR11;O95619
P30875;P30874
Q8K1S4;Q6ZN44
Q9QXE5;Q9NQE7
Q80WJ6;Q96J65
Q811U4;Q8IWA4
Q02257;P14923
Q8BX94;Q9H1P3
O54781;P78362
A1E960;A1E959
Q8BTG6;Q9H741
Q9JL21;P46092
Q9Z1E4;P13807
P03995;P14136
O88444;Q08828
Q7M750;Q96PE5
Q7TNV9;P81534
Q6A058;Q7L311
P98195;O43861
Q64347;P35523
Q9D384;Q16560
Q60718;Q99965
Q6QWF9;Q7Z7J9
Q9CRC8;Q9H9A6
Q70KY4;A8MYZ6
Q9D8V7;Q9BY50
O88932;Q99712
Q99JY6;Q9P298
Q91X21;Q8IYS2
Q8BW88;Q5SXH7
Q8BKG4;Q9ULW2
Q8C4Q9;Q6P9G4
Q99JR6;Q96T66
Q8BX65;Q9P1T7
Q810C1;Q96PX8
Q8CFE5;Q9P203
Q8R115;A0PJX8
Q499E5;Q9P2F5
Q66L42;Q02779
Q8BI29;Q9BW04
Q9QZ73;Q96GG9
Q8CBC4;Q6PJW8
A2AS55;Q6P6B7
Q8VC48;O00623
Q8CIZ9;Q9Y5S8
Q8K4G2;Q86Y22
Q9R187;Q9UNE0
O88819;Q9Y231
Q9R1T2;Q9UBE0
Q8R1S9;Q969I6
P48962;P12235
Q9Z0E8;O76082
P19182;O00458
Q8VBT3;Q8IYS5
Q99JF5;P53602
Q9ESD7;O75923
P52196;Q16762
Q922P9;Q49A26
Q8C2R7;Q9H3S5
Q8BKE9;Q96LB3
Q80TQ2;Q9NQC7
P0C0A3;Q96FZ7
Q8BKJ9;Q9NRC8
O54707;Q13241
P97318;O75553
Q6P1I6;Q9BQI7
Q9R112;Q9Y6N5
Q9JJG9;Q8NC60
Q9WUZ9;O75356
Q03147;P50613
Q91YM4;Q969Z0
P20357;P11137
Q9JKU8;Q8TE12
Q8BX02;Q63ZY3
P0C0P8;P0C0P6
Q99L43;O95674
P17919;P14653
Q6P9Q4;Q9Y613
O09118;O95631
O88848;Q9H0F7
Q9D300;Q8N431
Q91ZA3;P05165
O35207;O14519
Q8VCR8;Q9H1R3
Q80TK0;Q9UPP5
Q91X60;Q15822
Q9JHH9;Q9P299
Q99LF4;Q9Y3I0
P16297;P14784
Q6P9S0;Q765P7
Q3TTY0;Q6P1J6
Q8CI08;Q9P270
Q91XF4;Q9H6Y7
Q9D0L7;Q8N2F6
Q70E20;Q8TER0
P97287;Q07820
P57759;P30040
Q80WM3;Q7Z7G2
Q566J8;Q96D53
Q80ZJ7;Q86XE0
Q9QXP7;Q9BXJ1
Q99ME6;Q9UN42
Q80Z38;Q9UPX8
Q91W27;Q96A98
Q2YDW2;Q9BUK6
Q61286;Q99081
Q8VC85;O15116
Q91WL0;Q8TE67
Q3UEI1;Q08493
Q8R2G6;Q76M96
Q91XQ6;Q86VI4
Q8CIV7;Q9BRP0
O35450;Q9UIM3
A7MCT6;Q9NVF9
Q9D321;Q96G79
Q8BUM9;Q70EL4
Q64705;Q15853
O55201;O00267
Q9D709;Q9BSE2
Q3UU35;Q6IE36
Q5NC05;Q9UNY4
Q99MZ3;Q9NP71
Q8QZV4;Q86UX6
Q8VHK1;Q8WXE0
Q9CQS5;Q9BVS4
Q80WY3;Q8WY41
P58681;Q9NYK1
Q9EPT5;Q92959
Q7M760;Q9UGI0
P68510;Q04917
Q9WU60;O75882
Q99J83;Q9H1Y0
Q5SP85;Q96PX6
A3KGB4;Q0IIM8
Q6ZPI3;Q96JN0
Q9D7B7;Q8TED1
Q99JH7;Q9BQT9
O88271;Q9UEE9
Q3TUA9;Q9H5K3
Q8C0R0;Q86T82
Q8R2Y2;P43121
P34902;P31785
A6X919;Q2PZI1
Q8C9S8;Q8WYN0
Q6P073;Q8N2K1
Q9EQT3;Q7L0Q8
P52194;O14967
Q5DTZ6;Q9ULK6
Q3U3E2;Q6P1L5
O70194;O15371
Q9D9I1;Q6ZNM6
Q61845;Q5JSS6
Q9JHI5;P26440
Q8BGI5;Q7Z412
P97783;Q13015
Q8R197;Q9NV23
A2AN08;Q5T4S7
Q8C8U0;Q86W92
Q7TMY8;Q7Z6Z7
Q8VHE0;Q9UGP8
Q9D3S9;Q9H3G5
Q3URE1;Q4G176
Q56A10;Q9ULD9
Q9DCH4;O00303
Q8K199;Q9NRP2
P97499;Q99973
Q9CR57;P50914
Q99J27;O00400
Q6ZPR1;Q9P2B7
Q6P1G0;Q6AI08
Q91VU0;Q92520
P50283;P09564
Q9R0M6;P51151
Q7M6Y3;Q13492
O08760;O15527
P59708;Q9Y3B4
P29352;Q9Y2R2
Q5RI75;Q8IZ41
Q99JI6;P61224
Q9D9W1;Q8TCI5
Q9CPX8;O14957
Q99M96;Q9NRC1
Q91ZI8;P55073
Q99MJ9;Q9BQ39
Q8BHA9;Q8TE99
Q8R361;Q9BXF6
Q80U40;O15034
Q9ERE7;Q14696
Q9D945;Q9BRT6
Q09199;Q8NHY0
Q9D8T0;P98173
Q8K3V7;Q9UPX6
Q921H9;Q96BR5
P52912;P31483
Q8BQP9;Q6MZT1
Q8CGK5;Q8IU57
Q8CGN8;Q96PI1
Q8BH05;Q32MQ0
Q8R5M2;O14904
Q9CXL7;Q6UX34
O55208;Q6QHK4
O08966;O15245
P20181;P20783
Q8BQM9;Q86YW9
O54956;P56282
P09021;P20719
Q9QWV4;P58340
P21447;P08183
Q2TL60;Q5HYK9
Q99MA9;P78426
Q9WV95;Q9Y5J5
Q9JJN1;Q9NSA1
Q8BGK9;Q9UK00
Q8BVN8;O14645
P33215;Q8NHV4
Q8CC88;A3KMH1
Q78DX7;P08922
P43300;Q06889
Q9R229;O95393
Q68SA9;Q9UKP4
Q9CQC7;O95168
Q3UW53;Q9BZQ8
Q9D8V0;Q8TCT9
P08226;P02649
Q91ZJ5;Q16851
Q80X56;Q86WT6
P32883;P01116
Q8K2A8;Q92685
Q9CQM0;Q9BSH3
P60521;P60520
